Event,Gender,Location,Medal,Name,Nationality,Result,Year,F9
100M Men,M,Athens,G,Thomas BURKE,USA,12,1896,
100M Men,M,Athens,S,Fritz HOFMANN,GER,12.2,1896,
100M Men,M,Athens,B,Alajos SZOKOLYI,HUN,12.6,1896,
100M Men,M,Athens,B,Francis LANE,USA,12.6,1896,
100M Men,M,Paris,G,Frank JARVIS,USA,11,1900,
100M Men,M,Paris,S,Walter TEWKSBURY,USA,11.1,1900,
100M Men,M,Paris,B,Stanley ROWLEY,AUS,11.2,1900,
100M Men,M,St Louis,G,Archie HAHN,USA,11,1904,
100M Men,M,St Louis,S,Nate CARTMELL,USA,11.2,1904,
100M Men,M,St Louis,B,William HOGENSON,USA,11.2,1904,
100M Men,M,London,G,Reggie WALKER,RSA,10.8,1908,
100M Men,M,London,S,John RECTOR,USA,None,1908,
100M Men,M,London,B,Robert KERR,CAN,None,1908,
100M Men,M,Stockholm,G,Ralph CRAIG,USA,10.8,1912,
100M Men,M,Stockholm,S,Alvah MEYER,USA,10.9,1912,
100M Men,M,Stockholm,B,Donald LIPPINCOTT,USA,10.9,1912,
100M Men,M,Antwerp,G,Charles PADDOCK,USA,10.8,1920,
100M Men,M,Antwerp,S,Morris KIRKSEY,USA,10.8,1920,
100M Men,M,Antwerp,B,Harry EDWARD,GBR,10.9,1920,
100M Men,M,Paris,G,Harold ABRAHAMS,GBR,10.6,1924,
100M Men,M,Paris,S,Jackson SCHOLZ,USA,10.7,1924,
100M Men,M,Paris,B,Arthur PORRITT,NZL,10.8,1924,
100M Men,M,Amsterdam,G,Percy WILLIAMS,CAN,10.8,1928,
100M Men,M,Amsterdam,S,Jack LONDON,GBR,10.9,1928,
100M Men,M,Amsterdam,B,Georg LAMMERS,GER,10.9,1928,
100M Women,W,Amsterdam,B,Ethel SMITH,CAN,None,1928,
100M Women,W,Amsterdam,G,Elizabeth ROBINSON,USA,12.2,1928,
100M Women,W,Amsterdam,S,Fanny ROSENFELD,CAN,None,1928,
100M Men,M,Los Angeles,G,Eddie TOLAN,USA,10.3,1932,
100M Men,M,Los Angeles,S,Ralph METCALFE,USA,10.3,1932,
100M Men,M,Los Angeles,B,Arthur JONATH,GER,10.4,1932,
100M Women,W,Los Angeles,B,Wilhelmina VON BREMEN,USA,12,1932,
100M Women,W,Los Angeles,G,Stanislawa WALASIEWICZ,POL,11.9,1932,
100M Women,W,Los Angeles,S,Hilda STRIKE,CAN,11.9,1932,
100M Men,M,Berlin,G,Jesse OWENS,USA,10.3,1936,
100M Men,M,Berlin,S,Ralph METCALFE,USA,10.4,1936,
100M Men,M,Berlin,B,Martinus OSENDARP,NED,10.5,1936,
100M Women,W,Berlin,B,KÃ¤the KRAUSS,GER,11.9,1936,
100M Women,W,Berlin,G,Helen STEPHENS,USA,11.5,1936,
100M Women,W,Berlin,S,Stanislawa WALASIEWICZ,POL,11.7,1936,
