Row Labels,B,G,S,Grand Total
MAR,7,5,5,17
ALG,2,4,3,9
ARG,,2,2,4
AUS,21,16,20,57
AUT,2,1,1,4
BAH,5,5,2,12
BAR,1,,,1
BDI,,1,1,2
BEL,2,5,5,12
BLR,6,3,5,14
BOT,,,1,1
BRA,5,4,1,10
BRN,1,1,1,3
BUL,5,3,4,12
BWI,2,,,2
CAN,27,11,15,53
CHI,,,1,1
CHN,7,8,8,23
CIV,,,1,1
CMR,,2,,2
COL,1,1,1,3
CRO,1,3,1,5
CUB,17,11,12,40
CZE,6,5,1,12
DEN,3,,3,6
DJI,1,,,1
DOM,,2,1,3
ECU,,1,1,2
ERI,1,,,1
ESP,6,3,5,14
EST,3,2,1,6
ETH,21,22,10,53
EUA,6,3,17,26
EUN,3,6,9,18
FIN,21,31,22,74
FRA,24,12,24,60
FRG,13,6,9,28
GBR,56,46,58,160
GDR,23,29,24,76
GER,36,16,22,74
GRE,8,6,9,23
GRN,,1,1,2
GUA,,,1,1
HAI,,,1,1
HUN,14,6,10,30
IND,,,1,1
IRI,,,1,1
IRL,1,3,2,6
ISL,1,,,1
ITA,22,14,10,46
JAM,20,22,32,74
JPN,9,5,6,20
KAZ,2,2,,4
KEN,25,26,36,87
KOR,,1,1,2
KSA,,,1,1
LAT,1,,4,5
LTU,1,3,1,5
LUX,,1,,1
MEX,2,3,6,11
MOZ,1,1,,2
NAM,,,4,4
NED,6,5,3,14
NGR,7,2,4,13
NOR,6,5,4,15
NZL,11,10,3,24
PAN,2,1,,3
PHI,2,,,2
POL,14,21,17,52
POR,4,4,2,10
PUR,1,,,1
QAT,2,,1,3
ROU,10,7,12,29
RSA,4,8,14,26
RUS,22,21,19,62
SLO,1,1,2,4
SRB,1,,,1
SRI,,,2,2
SUD,,,1,1
SUI,,,5,5
SVK,,1,,1
SWE,28,12,13,53
SYR,,1,,1
TAN,,,2,2
TCH,3,8,7,18
TJK,,1,,1
TPE,,,1,1
TTO,8,2,5,15
TUN,1,2,2,5
TUR,2,,3,5
UGA,1,2,,3
UKR,14,2,2,18
URS,48,44,39,131
USA,158,275,206,639
VEN,1,,1,2
YUG,,,1,1
ZAM,,,1,1
